I (4208858) APP_MAIN: Gyro drift estimate Z = +0.005 °/s, Δ = +0.002 °/s , Yaw =  +0.19°
I (4268858) APP_MAIN: Gyro drift estimate Z = +0.010 °/s, Δ = +0.005 °/s , Yaw =  +0.39°
I (4328858) APP_MAIN: Gyro drift estimate Z = +0.001 °/s, Δ = -0.009 °/s , Yaw =  +0.04°
I (4388858) APP_MAIN: Gyro drift estimate Z = -0.001 °/s, Δ = -0.002 °/s , Yaw =  -0.03°
I (4448858) APP_MAIN: Gyro drift estimate Z = +0.001 °/s, Δ = +0.002 °/s , Yaw =  +0.05°
I (4508858) APP_MAIN: Gyro drift estimate Z = -0.000 °/s, Δ = -0.001 °/s , Yaw =  +0.00°
I (4568858) APP_MAIN: Gyro drift estimate Z = +0.001 °/s, Δ = +0.001 °/s , Yaw =  +0.05°
I (4628858) APP_MAIN: Gyro drift estimate Z = +0.008 °/s, Δ = +0.007 °/s , Yaw =  +0.33°
I (4688858) APP_MAIN: Gyro drift estimate Z = +0.007 °/s, Δ = -0.002 °/s , Yaw =  +0.27°
I (4748858) APP_MAIN: Gyro drift estimate Z = +0.006 °/s, Δ = -0.001 °/s , Yaw =  +0.23°
I (4808858) APP_MAIN: Gyro drift estimate Z = +0.007 °/s, Δ = +0.001 °/s , Yaw =  +0.27°
I (4868858) APP_MAIN: Gyro drift estimate Z = +0.003 °/s, Δ = -0.003 °/s , Yaw =  +0.13°
I (4928858) APP_MAIN: Gyro drift estimate Z = +0.006 °/s, Δ = +0.002 °/s , Yaw =  +0.23°
I (4988858) APP_MAIN: Gyro drift estimate Z = +0.007 °/s, Δ = +0.002 °/s , Yaw =  +0.30°
I (5048858) APP_MAIN: Gyro drift estimate Z = +0.011 °/s, Δ = +0.004 °/s , Yaw =  +0.46°
I (5108858) APP_MAIN: Gyro drift estimate Z = +0.011 °/s, Δ = -0.001 °/s , Yaw =  +0.43°
I (5168858) APP_MAIN: Gyro drift estimate Z = +0.001 °/s, Δ = -0.010 °/s , Yaw =  +0.05°
I (5228858) APP_MAIN: Gyro drift estimate Z = +0.001 °/s, Δ = -0.000 °/s , Yaw =  +0.03°
I (5288858) APP_MAIN: Gyro drift estimate Z = +0.006 °/s, Δ = +0.005 °/s , Yaw =  +0.22°
I (5348858) APP_MAIN: Gyro drift estimate Z = +0.012 °/s, Δ = +0.007 °/s , Yaw =  +0.50°
I (5408858) APP_MAIN: Gyro drift estimate Z = +0.014 °/s, Δ = +0.002 °/s , Yaw =  +0.58°
I (5468858) APP_MAIN: Gyro drift estimate Z = +0.014 °/s, Δ = -0.000 °/s , Yaw =  +0.57°
I (5528858) APP_MAIN: Gyro drift estimate Z = +0.015 °/s, Δ = +0.001 °/s , Yaw =  +0.60°
I (5588858) APP_MAIN: Gyro drift estimate Z = +0.014 °/s, Δ = -0.001 °/s , Yaw =  +0.57°
I (5648858) APP_MAIN: Gyro drift estimate Z = +0.016 °/s, Δ = +0.002 °/s , Yaw =  +0.64°
I (5708858) APP_MAIN: Gyro drift estimate Z = +0.019 °/s, Δ = +0.003 °/s , Yaw =  +0.76°
I (5768858) APP_MAIN: Gyro drift estimate Z = +0.016 °/s, Δ = -0.003 °/s , Yaw =  +0.64°
I (5828858) APP_MAIN: Gyro drift estimate Z = +0.015 °/s, Δ = -0.001 °/s , Yaw =  +0.60°
I (5888858) APP_MAIN: Gyro drift estimate Z = +0.015 °/s, Δ = +0.000 °/s , Yaw =  +0.61°
